iter	Passed	Remaining
344	1042	1979
345	1045	1976
346	1048	1972
347	1050	1967
348	1052	1962
349	1054	1957
350	1056	1952
351	1060	1951
352	1062	1947
353	1065	1943
354	1067	1939
355	1070	1936
356	1074	1934
357	1076	1930
358	1078	1926
359	1081	1921
360	1083	1918
361	1085	1913
362	1087	1908
363	1089	1903
364	1092	1900
365	1095	1897
366	1097	1893
367	1099	1887
368	1101	1882
369	1103	1879
370	1107	1877
371	1109	1872
372	1111	1868
373	1114	1864
374	1115	1859
375	1118	1856
376	1121	1854
377	1124	1849
378	1126	1846
379	1129	1842
380	1131	1838
381	1133	1834
382	1136	1830
383	1138	1826
384	1141	1823
385	1143	1819
386	1145	1815
387	1149	1812
388	1153	1811
389	1155	1807
390	1158	1804
391	1161	1801
392	1163	1797
393	1165	1792
394	1168	1790
395	1171	1786
396	1173	1782
397	1175	1778
398	1177	1773
399	1179	1769
400	1181	1764
401	1185	1763
402	1187	1759
403	1190	1756
404	1192	1752
405	1195	1748
406	1197	1744
407	1200	1741
408	1203	1738
409	1205	1734
410	1207	1731
411	1212	1729
412	1215	1727
413	1218	1724
414	1221	1721
415	1223	1718
416	1226	1714
417	1228	1710
418	1232	1709
419	1235	1706
420	1237	1702
421	1240	1698
422	1242	1694
423	1245	1691
424	1248	1688
425	1251	1685
426	1253	1682
427	1256	1678
428	1258	1674
429	1259	1669
430	1262	1666
431	1264	1662
432	1267	1660
433	1270	1656
434	1272	1652
435	1274	1648
436	1276	1645
437	1280	1642
438	1283	1640
439	1285	1636
440	1287	1632
441	1289	1627
442	1291	1623
443	1294	1621
444	1297	1618
445	1299	1613
446	1301	1609
447	1302	1605
448	1304	1600
449	1306	1596
450	1309	1593
451	1312	1590
452	1314	1586
453	1316	1582
454	1317	1578
455	1320	1575
456	1322	1571
457	1325	1569
458	1328	1565
459	1331	1562
460	1333	1559
461	1335	1555
462	1337	1551
463	1340	1548
464	1342	1544
465	1345	1541
466	1348	1538
467	1350	1535
468	1352	1531
469	1355	1528
470	1358	1525
471	1361	1522
472	1363	1518
473	1365	1515
474	1368	1512
475	1371	1509
476	1373	1505
477	1375	1502
478	1377	1498
479	1380	1495
480	1382	1491
481	1383	1487
482	1385	1482
483	1387	1479
484	1390	1476
485	1394	1475
486	1397	1471
487	1400	1469
488	1403	1467
489	1406	1463
490	1412	1464
491	1414	1461
492	1419	1459
493	1422	1457
494	1425	1454
495	1428	1451
496	1430	1447
497	1433	1445
498	1437	1443
499	1439	1439
500	1442	1436
501	1444	1433
502	1446	1429
503	1449	1426
504	1452	1423
505	1456	1422
506	1458	1417
507	1461	1415
508	1464	1412
509	1467	1409
510	1469	1406
511	1473	1404
512	1476	1401
513	1479	1398
514	1481	1395
515	1483	1391
516	1486	1389
517	1488	1385
518	1490	1381
519	1492	1377
520	1494	1374
521	1498	1372
522	1501	1369
523	1503	1366
524	1505	1362
525	1508	1359
526	1510	1355
527	1513	1353
528	1517	1350
529	1519	1347
530	1521	1343
531	1523	1340
532	1525	1336
533	1528	1334
534	1531	1331
535	1535	1329
536	1537	1325
537	1539	1322
538	1541	1318
539	1544	1316
540	1547	1313
541	1549	1309
542	1550	1305
543	1552	1301
544	1554	1298
545	1557	1294
546	1560	1292
547	1563	1289
548	1565	1286
549	1567	1282
550	1569	1279
551	1571	1275
552	1573	1271
553	1576	1269
554	1578	1265
555	1581	1262
556	1583	1259
557	1585	1255
558	1587	1252
559	1589	1248
560	1592	1245
561	1595	1243
562	1596	1239
563	1599	1236
564	1602	1234
565	1605	1230
566	1607	1227
567	1611	1225
568	1613	1222
569	1615	1219
570	1617	1215
571	1619	1211
572	1622	1209
573	1624	1205
574	1627	1203
575	1629	1199
576	1631	1196
577	1633	1192
578	1636	1189
579	1640	1187
580	1643	1185
581	1645	1182
582	1649	1179
583	1651	1176
584	1656	1175
585	1660	1173
586	1663	1170
587	1666	1167
588	1669	1164
589	1672	1162
590	1676	1160
591	1679	1157
592	1683	1155
593	1686	1152
594	1688	1149
595	1691	1146
596	1693	1143
597	1695	1140
598	1697	1136
599	1701	1134
600	1704	1131
601	1706	1127
602	1707	1124
603	1709	1120
604	1711	1117
605	1713	1114
606	1716	1111
607	1720	1109
608	1722	1106
609	1725	1102
610	1726	1099
611	1728	1096
612	1733	1094
613	1736	1091
614	1739	1088
615	1743	1086
616	1745	1083
617	1748	1080
618	1751	1077
619	1754	1075
620	1756	1072
621	1759	1069
622	1760	1065
623	1765	1063
624	1770	1062
625	1772	1059
626	1774	1055
627	1776	1052
628	1779	1049
629	1781	1046
630	1786	1044
631	1788	1041
632	1790	1038
633	1794	1036
634	1798	1033
635	1800	1030
636	1801	1026
637	1804	1023
638	1805	1020
639	1808	1017
640	1812	1015
641	1814	1011
642	1816	1008
643	1818	1005
644	1820	1001
645	1822	998
646	1825	996
647	1827	992
648	1830	989
649	1832	986
650	1834	983
651	1836	980
652	1839	977
653	1842	974
654	1844	971
655	1847	968
656	1848	965
657	1850	961
658	1852	958
659	1856	956
660	1859	953
661	1861	950
662	1863	947
663	1865	943
664	1866	940
665	1869	937
666	1872	934
667	1874	931
668	1876	928
669	1878	925
670	1879	921
671	1881	918
672	1883	915
673	1888	913
674	1890	910
675	1892	907
676	1895	904
677	1898	901
678	1900	898
679	1903	895
680	1906	892
681	1909	890
682	1910	886
683	1913	883
684	1915	880
685	1918	878
686	1921	875
687	1924	872
688	1926	869
689	1928	866
690	1932	864
691	1935	861
692	1938	858
693	1940	855
694	1942	852
695	1944	849
696	1946	846
697	1948	843
698	1951	840
699	1954	837
700	1957	835
701	1961	832
702	1967	831
703	1970	828
704	1974	826
705	1976	823
706	1979	820
707	1985	818
708	1987	815
709	1989	812
710	1992	809
711	1995	806
712	1997	804
713	2000	801
714	2002	798
715	2004	795
716	2007	792
717	2009	789
718	2010	785
719	2014	783
720	2016	780
721	2018	777
722	2020	774
723	2022	770
724	2023	767
725	2025	764
726	2028	761
727	2031	759
728	2034	756
729	2036	753
730	2038	750
731	2040	747
732	2043	744
733	2046	741
734	2049	738
735	2051	735
736	2052	732
737	2054	729
738	2056	726
739	2060	724
740	2062	720
741	2064	717
742	2066	714
743	2069	712
744	2073	709
745	2076	707
746	2078	703
747	2080	700
748	2081	697
749	2083	694
750	2085	691
751	2086	688
752	2088	684
753	2091	682
754	2093	679
755	2096	676
756	2098	673
757	2100	670
758	2102	667
759	2103	664
760	2105	661
761	2109	658
762	2112	656
763	2114	653
764	2116	650
765	2117	646
766	2121	644
767	2127	642
768	2129	639
769	2131	636
770	2133	633
771	2134	630
772	2135	627
773	2137	624
774	2140	621
775	2143	618
776	2145	615
777	2147	612
778	2150	610
779	2153	607
780	2155	604
781	2159	601
782	2161	598
783	2163	595
784	2165	592
785	2167	590
786	2171	587
787	2174	585
788	2176	582
789	2178	579
790	2181	576
791	2184	573
792	2187	570
793	2189	568
794	2191	565
795	2194	562
796	2196	559
797	2198	556
798	2201	553
799	2203	550
800	2206	548
801	2208	545
802	2210	542
803	2212	539
804	2216	536
805	2218	533
806	2221	531
807	2224	528
808	2226	525
809	2227	522
810	2229	519
811	2233	517
812	2235	514
813	2238	511
814	2240	508
815	2243	505
816	2245	502
817	2247	500
818	2250	497
819	2252	494
820	2254	491
821	2256	488
822	2257	485
823	2259	482
824	2261	479
825	2263	476
826	2266	474
827	2269	471
828	2271	468
829	2274	465
830	2275	462
831	2276	459
832	2279	456
833	2281	454
834	2283	451
835	2285	448
836	2287	445
837	2289	442
838	2290	439
839	2295	437
840	2297	434
841	2298	431
842	2300	428
843	2302	425
844	2304	422
845	2306	419
846	2310	417
847	2312	414
848	2314	411
849	2315	408
850	2317	405
851	2319	402
852	2321	400
853	2322	397
854	2325	394
855	2328	391
856	2331	388
857	2332	386
858	2334	383
859	2335	380
860	2337	377
861	2341	374
862	2345	372
863	2347	369
864	2350	366
865	2352	363
866	2355	361
867	2358	358
868	2362	356
869	2364	353
870	2366	350
871	2368	347
872	2370	344
873	2373	342
874	2376	339
875	2379	336
876	2381	334
877	2383	331
878	2384	328
879	2386	325
880	2388	322
881	2391	319
882	2393	317
883	2395	314
884	2397	311
885	2398	308
886	2399	305
887	2404	303
888	2406	300
889	2408	297
890	2410	294
891	2413	292
892	2415	289
893	2417	286
894	2419	283
895	2421	281
896	2423	278
897	2425	275
898	2427	272
899	2429	269
900	2431	267
901	2434	264
902	2436	261
903	2439	259
904	2441	256
905	2443	253
906	2445	250
907	2447	247
908	2451	245
909	2453	242
910	2455	239
911	2457	237
912	2459	234
913	2461	231
914	2463	228
915	2465	226
916	2469	223
917	2470	220
918	2473	218
919	2475	215
920	2477	212
921	2479	209
922	2482	207
923	2484	204
924	2485	201
925	2488	198
926	2490	196
927	2493	193
928	2496	190
929	2498	188
930	2500	185
931	2502	182
932	2504	179
933	2506	177
934	2507	174
935	2509	171
936	2512	168
937	2514	166
938	2516	163
939	2518	160
940	2520	158
941	2521	155
942	2523	152
943	2525	149
944	2527	147
945	2531	144
946	2534	141
947	2535	139
948	2538	136
949	2539	133
950	2542	131
951	2544	128
952	2547	125
953	2549	122
954	2551	120
955	2554	117
956	2558	114
957	2560	112
958	2562	109
959	2564	106
960	2566	104
961	2568	101
962	2570	98
963	2572	96
964	2574	93
965	2577	90
966	2579	88
967	2582	85
968	2583	82
969	2585	79
970	2588	77
971	2590	74
972	2593	71
973	2596	69
974	2598	66
975	2601	63
976	2603	61
977	2607	58
978	2610	55
979	2611	53
980	2613	50
981	2616	47
982	2618	45
983	2621	42
984	2623	39
985	2625	37
986	2626	34
987	2628	31
988	2630	29
989	2633	26
990	2636	23
991	2639	21
992	2641	18
993	2644	15
994	2647	13
995	2651	10
996	2656	7
997	2659	5
998	2662	2
999	2664	0
